"Taxonomy","Metabolic category","Feeding Type","Environment","Feeding Mode","Trophic Level","BodyWeight","Mobility"
"Sea Turtles","ectotherm vertebrate","carnivorous","land-based","predator/scavenger",3.94,1.08E+005,4
"Sea Birds","endotherm vertebrate","carnivorous","land-based","predator",3.5,3.10E+002,4
"Acanthurus bahianus","endotherm vertebrate","omnivorous","reef-associated","predator",2,2.88E+002,4
"Acanthurus chirugus","ectotherm vertebrate","herbivorous/detrivorous","reef-associated","grazer",3.28,8.20E+002,4
"Acanthurus coeruleus","ectotherm vertebrate","omnivorous","reef-associated","predator",2.25,9.83E+002,4
"Antennarius multiocellatus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.82,7.00E+001,4
"Antennarius striatus","ectotherm vertebrate","carnivorous","reef-associated","predator",5.78,7.00E+001,4
"Phaeoptyx conklini","ectotherm vertebrate","carnivorous","reef-associated","predator",3.5,3.30E+000,4
"Phaeoptyx maculatus","ectotherm vertebrate","carnivorous","reef-associated","predator",3.88,3.70E+001,4
"Hypoatherina harringtonensis","ectotherm vertebrate","carnivorous","reef-associated","predator",3,1.10E+001,4
"Atherinomorus stipes","ectotherm vertebrate","carnivorous","reef-associated","predator",3.44,1.60E+001,4
"Aulostomus maculatus","ectotherm vertebrate","omnivorous","reef-associated","predator",4.33,7.77E+002,4
"Balistes vetula","ectotherm vertebrate","omnivorous","reef-associated","predator",3.9,2.59E+003,4
"Canthidermis sufflamen","ectotherm vertebrate","omnivorous","reef-associated","predator",3.28,4.78E+003,4
"Melichthys niger","ectotherm vertebrate","carnivorous","reef-associated","predator",3.4,9.60E+002,4
"Platybelone argalus argalus","ectotherm vertebrate","carnivorous","reef-associated","predator",3.66,1.50E+002,4
"Strongylura timucu","ectotherm vertebrate","carnivorous","reef-associated","predator",3.95,1.10E+002,4
"Tylosurus acus acus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.73,2.80E+003,4
"Tylosurus crocodilus crocodilus","ectotherm vertebrate","carnivorous","reef-associated","predator",3.6,1.40E+003,4
"Entomacrodus nigricans","ectotherm vertebrate","omnivorous","reef-associated","predator",2.79,1.30E+001,4
"Ophioblennius atlanticus","ectotherm vertebrate","omnivorous","reef-associated","predator",2.33,3.50E+001,4
"Parablennius marmoreus","ectotherm vertebrate","omnivorous","reef-associated","predator",2.94,1.00E+001,4
"Scartella cristata","ectotherm vertebrate","carnivorous","reef-associated","predator",2.91,2.70E+001,4
"Bothus lunatus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.24,3.00E+003,4
"Bothus ocellatus","ectotherm vertebrate","omnivorous","reef-associated","predator",4.35,1.80E+002,4
"Carangoides bartholomaei","ectotherm vertebrate","carnivorous","reef-associated","predator",3.91,9.86E+003,4
"Carangoides latus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.12,6.25E+003,4
"Carangoides ruber","ectotherm vertebrate","omnivorous","reef-associated","predator",3.96,3.16E+003,4
"Parablennius marmoreus","ectotherm vertebrate","carnivorous","reef-associated","predator",3,1.00E+001,4
