Taxonomy,MetabolicCategory,FeedingType,Environment,FeedingMode,TrophicLevel,BodyWeight,Mobility
"Gerlachea australis","ectotherm vertebrate",carnivorous,benthopelagic,predator,3.91,260,4
"Gymnodraco acuticeps","ectotherm vertebrate",carnivorous,demersal,predator,3.75,1400,4
"Prionodraco evansii","ectotherm vertebrate",carnivorous,demersal,predator,3.5,64,4
"Racovitzia glacialis","ectotherm vertebrate",carnivorous,bathydemersal,predator,3.61,430,4
"Chaenodraco wilsoni","ectotherm vertebrate",carnivorous,benthopelagic,predator,3.32,210,4
"Chionodraco hamatus","ectotherm vertebrate",carnivorous,demersal,predator,3.8,1100,4
"Chionodraco myersi","ectotherm vertebrate",carnivorous,demersal,predator,4.09,370,4
"Cryodraco antarcticus","ectotherm vertebrate",carnivorous,demersal,predator,3.54,1300,4
"Dacodraco hunteri","ectotherm vertebrate",carnivorous,demersal,predator,4.79,330,4
"Pagetopsis maculatus","ectotherm vertebrate",carnivorous,demersal,predator,4.09,81,4
"Aethotaxis mitopteryx","ectotherm vertebrate",carnivorous,benthopelagic,predator,3.86,49,4
"Dissostichus mawsoni","ectotherm vertebrate",carnivorous,pelagic,predator,4.14,24000,4
"Trematomus eulepidotus","ectotherm vertebrate",carnivorous,benthopelagic,predator,3.68,480,4
"Trematomus lepidorhinus","ectotherm vertebrate",carnivorous,benthopelagic,predator,3.8,150,4
"Trematomus loennbergii","ectotherm vertebrate",carnivorous,benthopelagic,predator,4.08,250,4
"Trematomus nicolai","ectotherm vertebrate",carnivorous,benthopelagic,predator,3.83,660,4
"Trematomus pennellii","ectotherm vertebrate",carnivorous,demersal,predator,4.02,300,4
"Trematomus scotti","ectotherm vertebrate",carnivorous,demersal,predator,3.81,95,4
"Pleuragramma antarcticum","ectotherm vertebrate",carnivorous,demersal,predator,3.64,300,4
"Notothenia marmorata","ectotherm vertebrate",carnivorous,demersal,predator,4.17,8600,4
"Notothenia coriiceps","ectotherm vertebrate",carnivorous,demersal,predator,4.24,2000,4
"Trematomus bernacchii","ectotherm vertebrate",carnivorous,demersal,predator,3.61,240,4
"Trematomus hansoni","ectotherm vertebrate",carnivorous,benthopelagic,predator,4.34,300,4
"Macrourus holotrachys","ectotherm vertebrate",carnivorous,benthopelagic,predator,4.75,3800,4
"Macrourus whitsoni","ectotherm vertebrate",carnivorous,benthopelagic,predator,4.58,5100,4
"Electrona antarctica","ectotherm vertebrate",carnivorous,pelagic,predator,3.47,39,4
"Harpagifer antarcticus","ectotherm vertebrate",carnivorous,demersal,predator,3.79,36,4
"Bathylagus antarcticus","ectotherm vertebrate",carnivorous,pelagic,predator,3.35,27,4
"Notolepis coatsi","ectotherm vertebrate",carnivorous,pelagic,predator,3.48,3.1,4
"Gymnoscopelus braueri","ectotherm vertebrate",carnivorous,pelagic,predator,3.59,25,4
"Gymnoscopelus opisthopterus","ectotherm vertebrate",carnivorous,pelagic,predator,3.38,36,4
"Gymnoscopelus nicholsi","ectotherm vertebrate",carnivorous,pelagic,predator,3.71,110,4
"Protomyctophum bolini","ectotherm vertebrate",carnivorous,pelagic,predator,3.42,5.6,4
"Pagetopsis macropterus","ectotherm vertebrate",carnivorous,demersal,predator,4.71,610,4
"Muraenolepis marmoratus","ectotherm vertebrate",omnivorous,benthopelagic,predator,3.17,1000,4
"Muraenolepis microps","ectotherm vertebrate",carnivorous,benthopelagic,predator,3.68,710,4
"Pachycara brachycephalum","ectotherm vertebrate",carnivorous,demersal,predator,3.96,3.5,4
"Champsocephalus gunnari","ectotherm vertebrate",carnivorous,pelagic,predator,3.72,2200,4
"Fulmarus glacialoides","endotherm vertebrate",carnivorous/necrovorous,land-based,predator/scavenger,4.45,14000,4
"Thalassoica antarctica","endotherm vertebrate",carnivorous,land-based,predator,4.43,600,4
"Halobaena caerulea","endotherm vertebrate",carnivorous,land-based,predator,4.39,230,4
"Daption capense","endotherm vertebrate",carnivorous,land-based,predator,4.43,5500,4
"Pagodroma nivea","endotherm vertebrate",carnivorous,land-based,predator,4.23,4000,4
"Aphrodroma brevirostris","endotherm vertebrate",carnivorous,land-based,predator,4.21,330,4
"Macronectes halli","endotherm vertebrate",carnivorous/necrovorous,land-based,predator/scavenger,5,4100,4
"Macronectes giganteus","endotherm vertebrate",carnivorous/necrovorous,land-based,predator/scavenger,4.33,4700,4
"Procellaria aequinoctialis","endotherm vertebrate",carnivorous,land-based,predator,4.28,600,4
"Oceanites oceanicus","endotherm vertebrate",carnivorous/necrovorous,land-based,predator/scavenger,4.11,600,4
"Sterna vittata","endotherm vertebrate",carnivorous,land-based,predator,3.88,420,4
"Sterna paradisaea","endotherm vertebrate",carnivorous,land-based,predator,4.08,380,4
"Pachyptila desolata","endotherm vertebrate",carnivorous,land-based,predator,4.25,170,4
"Aptenodytes forsteri","endotherm vertebrate",carnivorous,land-based,predator,4.78,11000,4
"Pygoscelis adeliae","endotherm vertebrate",carnivorous,land-based,predator,3.8,880,4
"Lobodon carcinophaga","endotherm vertebrate",carnivorous,land-based,predator,4.29,750000,4
"Hydrurga leptonyx","endotherm vertebrate",carnivorous,land-based,predator,4.74,1400000,4
"Arctocephalus gazella","endotherm vertebrate",carnivorous,land-based,predator,4.68,320000,4
"Mirounga leonina","endotherm vertebrate",carnivorous,land-based,predator,4.88,5000000,4
"Ommatophoca rossii","endotherm vertebrate",carnivorous,land-based,predator,4.88,370000,4
"Leptonychotes weddelli","endotherm vertebrate",carnivorous,land-based,predator,4.87,770000,4
"Balaenoptera musculus","endotherm vertebrate",carnivorous,benthopelagic,predator,4.07,1900000,4
"Balaenoptera physalus","endotherm vertebrate",carnivorous,benthopelagic,predator,4.07,860000000,4
"Balaenoptera acutorostrata","endotherm vertebrate",carnivorous,benthopelagic,predator,3.75,52000000,4
"Physeter macrocephalus","endotherm vertebrate",carnivorous,benthopelagic,predator,4.51,250000000,4
"Megaptera novaeangliae","endotherm vertebrate",carnivorous,benthopelagic,predator,3.26,280000000,4
"Orcinus orca","endotherm vertebrate",carnivorous,benthopelagic,predator,5.07,40000000,4
"Lagenorhynchus cruciger","endotherm vertebrate",carnivorous,benthopelagic,predator,4.51,240000,4
"Tursiops truncatus","endotherm vertebrate",carnivorous,benthopelagic,predator,4.51,2300000,4
